,Borough Name,Community Board,BIN,House Number,Street Name,Complaint Number,Date Complaint Received,DOBRunDate
187867,Brooklyn,312,3327677,4324        ,12 AVENUE                       ,3424470,09/17/2012 12:00:00 AM,03/03/2014 12:00:00 AM
112854,Brooklyn,303,3394438,449         ,CLASSON AVENUE                  ,3410421,04/30/2012 12:00:00 AM,10/25/2013 12:00:00 AM
20324,Queens,412,4539003,107-31      ,155 STREET                      ,4521332,07/13/2012 12:00:00 AM,05/27/2013 12:00:00 AM
69072,Queens,408,4857117,179-16      ,GRAND CENTRAL PARKWAY           ,4453719,08/06/2010 12:00:00 AM,08/13/2013 12:00:00 AM
655027,Queens,414,4861003,510         ,SEAGIRT AVENUE                  ,4506904,02/09/2012 12:00:00 AM,12/07/2016 12:00:00 AM
947173,Manhattan,104,1025084,688         ,9 AVENUE                        ,1393745,04/17/2015 12:00:00 AM,12/12/2019 12:00:00 AM
545674,Brooklyn,306,3007376,543         ,PRESIDENT STREET                ,3358850,10/25/2010 12:00:00 AM,02/19/2016 12:00:00 AM
175451,Brooklyn,304,3831614,9           ,WOODBINE STREET                 ,3406603,03/21/2012 12:00:00 AM,02/09/2014 12:00:00 AM
1028060,Staten Island,501,5000045,451         ,ST MARKS PLACE                  ,5078577,05/20/2009 12:00:00 AM,12/02/2020 12:00:00 AM
1090689,Brooklyn,302,3815730,761         ,FULTON STREET                   ,3337243,03/31/2010 12:00:00 AM,09/11/2021 12:00:00 AM
958934,Brooklyn,308,3029361,314         ,ST JOHN PLACE                   ,3400427,01/09/2012 12:00:00 AM,02/06/2020 12:00:00 AM
148358,Queens,414,4860605,801         ,SEAGIRT BOULEVARD               ,4507279,02/14/2012 12:00:00 AM,12/24/2013 12:00:00 AM
768223,Brooklyn,312,3126727,597         ,EAST    3 STREET                ,3359772,11/03/2010 12:00:00 AM,12/12/2017 12:00:00 AM
1010202,Queens,414,4861006,506         ,SEAGIRT AVENUE                  ,4506907,02/09/2012 12:00:00 AM,09/13/2020 12:00:00 AM
1025356,Manhattan,111,1054018,2           ,EAST  125 STREET                ,1280141,04/21/2010 12:00:00 AM,11/20/2020 12:00:00 AM
752226,Manhattan,110,1807318,166         ,WEST  128 STREET                ,1252819,04/02/2009 12:00:00 AM,10/19/2017 12:00:00 AM
531222,Queens,404,4846826,79-01       ,  57 AVENUE                     ,4402711,06/03/2009 12:00:00 AM,01/16/2016 12:00:00 AM
677286,Queens,407,4858527,152-31      ,  14 ROAD                       ,4459890,09/29/2010 12:00:00 AM,03/02/2017 12:00:00 AM
1100834,Brooklyn,304,3831614,9           ,WOODBINE STREET                 ,3406603,03/21/2012 12:00:00 AM,10/30/2021 12:00:00 AM
747153,Queens,414,4860594,807         ,SEAGIRT BOULEVARD               ,4507275,02/14/2012 12:00:00 AM,10/03/2017 12:00:00 AM
66713,Queens,409,4198273,97-30       , 116 STREET                     ,4437273,03/16/2010 12:00:00 AM,08/10/2013 12:00:00 AM
1079189,Bronx,205,2009092,175         ,WEST TREMONT AVENUE             ,2175960,08/01/2012 12:00:00 AM,07/21/2021 12:00:00 AM
228410,Manhattan,110,1813229,113         ,WEST 138 STREET                 ,1323787,04/30/2012 12:00:00 AM,05/14/2014 12:00:00 AM
849335,Queens,411,4608318,240-17      ,POPLAR STREET                   ,4442591,04/29/2010 12:00:00 AM,10/14/2018 12:00:00 AM
3754,Brooklyn,310,3856397,428         ,  97 STREET                     ,3335593,03/15/2010 12:00:00 AM,05/01/2013 12:00:00 AM
413512,Bronx,208,2015801,3333        ,GILES PLACE                     ,2128470,04/02/2009 12:00:00 AM,04/23/2015 12:00:00 AM
777198,Manhattan,111,1813348,410         ,EAST 115 STREET                 ,1319249,02/27/2012 12:00:00 AM,01/10/2018 12:00:00 AM
38932,Queens,407,4099523,22-40       , 123 STREET                     ,4429316,12/23/2009 12:00:00 AM,06/25/2013 12:00:00 AM
694250,Brooklyn,301,3059929,540         ,BEDFORD AVENUE                  ,3425099,09/25/2012 12:00:00 AM,04/19/2017 12:00:00 AM
390232,Queens,412,4831645,141-10      ,ROCKAWAY BOULEVARD              ,4462231,10/22/2010 12:00:00 AM,03/20/2015 12:00:00 AM
1019430,Queens,414,4623246,2433        ,BEACH CHANNEL DRIVE             ,4402414,06/02/2009 12:00:00 AM,10/24/2020 12:00:00 AM
1003388,Staten Island,503,5167957,351         ,VETERANS ROAD WEST              ,5082991,01/21/2010 12:00:00 AM,08/14/2020 12:00:00 AM
390722,Queens,413,4863308,94-31       , 222 STREET                     ,4402750,06/03/2009 12:00:00 AM,03/23/2015 12:00:00 AM
775910,Queens,408,4534866,87-21       ,HOMELAWN STREET                 ,4508889,03/05/2012 12:00:00 AM,01/06/2018 12:00:00 AM
1058459,Brooklyn,301,3065369,265         ,ECKFORD STREET                  ,3300231,04/02/2009 12:00:00 AM,04/18/2021 12:00:00 AM
642485,Staten Island,501,5148249,810         ,VAN DUZER STREET                ,5082941,01/19/2010 12:00:00 AM,11/01/2016 12:00:00 AM
556686,Brooklyn,312,3856771,1671        ,  61 STREET                     ,3324318,11/13/2009 12:00:00 AM,03/17/2016 12:00:00 AM
652197,Bronx,204,2127017,1402        ,EDWARD L GRANT HIGHWAY          ,2189419,08/29/2013 12:00:00 AM,11/27/2016 12:00:00 AM
599075,Brooklyn,302,3396733,345         ,BERGEN STREET                   ,3308652,06/16/2009 12:00:00 AM,07/09/2016 12:00:00 AM
977900,Bronx,206,2011570,2243        ,BATHGATE AVENUE                 ,2147367,07/08/2010 12:00:00 AM,04/23/2020 12:00:00 AM
162875,Brooklyn,317,3391854,227         ,EAST   28 STREET                ,3384541,07/20/2011 12:00:00 AM,01/18/2014 12:00:00 AM
1081844,Queens,410,4864667,102-15      ,BURLINGAME COURT                ,4402440,06/02/2009 12:00:00 AM,08/02/2021 12:00:00 AM
209865,Manhattan,101,1079160,112         ,CHAMBERS STREET                 ,1291636,10/23/2010 12:00:00 AM,04/11/2014 12:00:00 AM
1023860,Staten Island,501,5000219,59          ,VICTORY BOULEVARD               ,5082834,01/12/2010 12:00:00 AM,11/13/2020 12:00:00 AM
617409,Queens,414,4861000,518         ,SEAGIRT AVENUE                  ,4506901,02/09/2012 12:00:00 AM,08/26/2016 12:00:00 AM
